"text","player"
"friendship falls off, brothers divide; in cities, mutinies;","GLOUCESTER"
"in countries, discord; in palaces, treason; and","GLOUCESTER"
"the bond cracked 'twixt son and father. This villain","GLOUCESTER"
"of mine comes under the prediction: there's son","GLOUCESTER"
"against father. The King falls from bias of nature:","GLOUCESTER"
"there's father against child. We have seen the best of","GLOUCESTER"
"our time. Machinations, hollowness, treachery, and","GLOUCESTER"
"all ruinous disorders follow us disquietly to our","GLOUCESTER"
"graves.--Find out this villain, Edmund. It shall","GLOUCESTER"
"lose thee nothing. Do it carefully.--And the noble","GLOUCESTER"
"and true-hearted Kent banished! His offense, honesty!","GLOUCESTER"
"'Tis strange.	","GLOUCESTER"
"  This is the excellent foppery of the world, that","EDMUND"
"when we are sick in fortune (often the surfeits of","EDMUND"
"our own behavior) we make guilty of our disasters","EDMUND"
"the sun, the moon, and stars, as if we were villains","EDMUND"
"on necessity; fools by heavenly compulsion; knaves,","EDMUND"
"thieves, and treachers by spherical predominance;","EDMUND"
"drunkards, liars, and adulterers by an enforced","EDMUND"
"obedience of planetary influence; and all that we","EDMUND"
"are evil in, by a divine thrusting on. An admirable","EDMUND"
"evasion of whoremaster man, to lay his goatish","EDMUND"
"disposition on the charge of a star! My father","EDMUND"
"compounded with my mother under the Dragon's","EDMUND"
"tail, and my nativity was under Ursa Major, so that it","EDMUND"
"follows I am rough and lecherous. Fut, I should","EDMUND"
"have been that I am, had the maidenliest star in the","EDMUND"
"firmament twinkled on my bastardizing. Edgar--","EDMUND"
"and pat he comes like the catastrophe of the old","EDMUND"
"comedy. My cue is villainous melancholy, with a","EDMUND"
"sigh like Tom o' Bedlam.--O, these eclipses do","EDMUND"
"portend these divisions. Fa, sol, la, mi.","EDMUND"
"  How now, brother Edmund, what serious contemplation","EDGAR"
"are you in?","EDGAR"
"  I am thinking, brother, of a prediction I read","EDMUND"
"this other day, what should follow these eclipses.","EDMUND"
"  Do you busy yourself with that?","EDGAR"
"  I promise you, the effects he writes of succeed","EDMUND"
"unhappily, as of unnaturalness between the","EDMUND"
"child and the parent, death, dearth, dissolutions of","EDMUND"
"ancient amities, divisions in state, menaces and","EDMUND"
"maledictions against king and nobles, needless diffidences,","EDMUND"
"banishment of friends, dissipation of cohorts,","EDMUND"
"nuptial breaches, and I know not what.","EDMUND"
"  How long have you been a sectary","EDGAR"
"astronomical?","EDGAR"
"  Come, come, when saw you my father last?","EDMUND"
"  The night gone by.","EDGAR"
"  Spake you with him?","EDMUND"
"  Ay, two hours together.","EDGAR"
"  Parted you in good terms? Found you no","EDMUND"
"displeasure in him by word nor countenance?","EDMUND"
"  None at all.","EDGAR"
"  Bethink yourself wherein you may have offended","EDMUND"
"him, and at my entreaty forbear his presence","EDMUND"
"until some little time hath qualified the heat","EDMUND"
"of his displeasure, which at this instant so rageth in","EDMUND"
"him that with the mischief of your person it would","EDMUND"
"scarcely allay.","EDMUND"
"  Some villain hath done me wrong.","EDGAR"
"  That's my fear. I pray you have a continent","EDMUND"
"forbearance till the speed of his rage goes slower;","EDMUND"
"and, as I say, retire with me to my lodging, from","EDMUND"
"whence I will fitly bring you to hear my lord speak.","EDMUND"
"Pray you go. There's my key. If you do stir abroad,","EDMUND"
"go armed.","EDMUND"
"  Armed, brother?","EDGAR"
"  Brother, I advise you to the best. I am no","EDMUND"
"honest man if there be any good meaning toward","EDMUND"
"you. I have told you what I have seen and heard, but","EDMUND"
"faintly, nothing like the image and horror of it. Pray","EDMUND"
"you, away.","EDMUND"
"  Shall I hear from you anon?","EDGAR"
"  I do serve you in this business.	","EDMUND"
"A credulous father and a brother noble,","EDMUND"
"Whose nature is so far from doing harms","EDMUND"
"That he suspects none; on whose foolish honesty","EDMUND"
"My practices ride easy. I see the business.","EDMUND"
"Let me, if not by birth, have lands by wit.","EDMUND"
"All with me's meet that I can fashion fit.","EDMUND"
"  Did my father strike my gentleman for chiding","GONERIL"
"of his Fool?","GONERIL"
"  Ay, madam.","OSWALD"
"By day and night he wrongs me. Every hour","GONERIL"
"He flashes into one gross crime or other","GONERIL"
"That sets us all at odds. I'll not endure it.","GONERIL"
"His knights grow riotous, and himself upbraids us","GONERIL"
"On every trifle. When he returns from hunting,","GONERIL"
"I will not speak with him. Say I am sick.","GONERIL"
"If you come slack of former services,","GONERIL"
"You shall do well. The fault of it I'll answer.","GONERIL"
"  He's coming, madam. I hear him.","OSWALD"
"Put on what weary negligence you please,","GONERIL"
"You and your fellows. I'd have it come to question.","GONERIL"
"If he distaste it, let him to my sister,","GONERIL"
"Whose mind and mine I know in that are one,","GONERIL"
"Not to be overruled. Idle old man","GONERIL"
"That still would manage those authorities","GONERIL"
"That he hath given away. Now, by my life,","GONERIL"
"Old fools are babes again and must be used","GONERIL"
"With checks as flatteries, when they are seen","GONERIL"
"abused.","GONERIL"
"Remember what I have said.","GONERIL"
"  Well, madam.","OSWALD"
"And let his knights have colder looks among you.","GONERIL"
"What grows of it, no matter. Advise your fellows so.","GONERIL"
"I would breed from hence occasions, and I shall,","GONERIL"
"That I may speak. I'll write straight to my sister","GONERIL"
"To hold my very course. Prepare for dinner.","GONERIL"
"If but as well I other accents borrow","KENT"
"That can my speech diffuse, my good intent","KENT"
"May carry through itself to that full issue","KENT"
"For which I razed my likeness. Now, banished Kent,","KENT"
"If thou canst serve where thou dost stand","KENT"
"condemned,","KENT"
"So may it come thy master, whom thou lov'st,","KENT"
"Shall find thee full of labors.","KENT"
"  Let me not stay a jot for dinner. Go get it ready.","LEAR"
